tree.number,REPLCT,TRT,day,diameter
1.1,1,1,0,27.3
1.1,1,1,14,27.34
1.1,1,1,28,27.38
1.1,1,1,32,27.46
1.1,1,1,42,27.46
1.1,1,1,45,27.42
1.1,1,1,50,27.47
1.1,1,1,53,27.47
1.1,1,1,57,27.49
1.1,1,1,60,27.51
1.1,1,1,63,27.53
1.1,1,1,69,27.53
1.1,1,1,73,27.53
1.1,1,1,79,27.53
1.2,1,2,0,30.89
1.2,1,2,14,30.97
1.2,1,2,28,31.05
1.2,1,2,32,31.16
1.2,1,2,42,31.17
1.2,1,2,45,31.16
1.2,1,2,50,31.19
1.2,1,2,53,31.19
1.2,1,2,57,31.25
1.2,1,2,60,31.26
1.2,1,2,63,31.27
1.2,1,2,69,31.26
1.2,1,2,73,31.27
1.2,1,2,79,31.26
1.3,1,3,0,24.75
1.3,1,3,14,24.74
1.3,1,3,28,24.75
1.3,1,3,32,24.76
1.3,1,3,42,24.77
1.3,1,3,45,24.77
1.3,1,3,50,24.78
1.3,1,3,53,24.77
1.3,1,3,57,24.77
1.3,1,3,60,24.78
1.3,1,3,63,24.78
1.3,1,3,69,24.8
1.3,1,3,73,24.78
1.3,1,3,79,24.78
1.4,1,4,0,27.95
1.4,1,4,14,27.98
1.4,1,4,28,28
1.4,1,4,32,28.06
1.4,1,4,42,28.07
1.4,1,4,45,28.07
1.4,1,4,50,28.08
1.4,1,4,53,28.07
1.4,1,4,57,28.12
1.4,1,4,60,28.14
1.4,1,4,63,28.15
1.4,1,4,69,28.15
1.4,1,4,73,28.14
1.4,1,4,79,28.14
1.5,1,5,0,27.32
1.5,1,5,14,27.32
1.5,1,5,28,27.43
1.5,1,5,32,27.44
1.5,1,5,42,27.45
1.5,1,5,45,27.45
1.5,1,5,50,27.46
1.5,1,5,53,27.46
1.5,1,5,57,27.5
1.5,1,5,60,27.51
1.5,1,5,63,27.52
1.5,1,5,69,27.52
1.5,1,5,73,27.52
1.5,1,5,79,27.52
1.6,1,6,0,30.12
1.6,1,6,14,30.14
1.6,1,6,28,30.18
1.6,1,6,32,30.26
1.6,1,6,42,30.27
1.6,1,6,45,30.27
1.6,1,6,50,30.29
1.6,1,6,53,30.29
1.6,1,6,57,30.34
1.6,1,6,60,30.34
1.6,1,6,63,30.35
1.6,1,6,69,30.35
1.6,1,6,73,30.34
1.6,1,6,79,30.35
1.7,1,7,0,32.77
1.7,1,7,14,32.84
1.7,1,7,28,32.89
1.7,1,7,32,32.96
1.7,1,7,42,32.97
1.7,1,7,45,32.97
1.7,1,7,50,32.96
1.7,1,7,53,32.97
1.7,1,7,57,33
1.7,1,7,60,33.01
1.7,1,7,63,33.02
1.7,1,7,69,33.02
1.7,1,7,73,33.01
1.7,1,7,79,33.01
2.1,2,1,0,27.51
2.1,2,1,14,27.53
2.1,2,1,28,27.55
2.1,2,1,32,27.61
2.1,2,1,42,27.62
2.1,2,1,45,27.61
2.1,2,1,50,27.62
2.1,2,1,53,27.61
2.1,2,1,57,27.64
2.1,2,1,60,27.64
2.1,2,1,63,27.65
2.1,2,1,69,27.66
2.1,2,1,73,27.65
2.1,2,1,79,27.65
2.2,2,2,0,29.46
2.2,2,2,14,29.47
2.2,2,2,28,29.5
2.2,2,2,32,29.58
2.2,2,2,42,29.59
2.2,2,2,45,29.58
2.2,2,2,50,28.6
2.2,2,2,53,29.59
