system:index,ID,p95,.geo
171,TP2,0.6165276765823364,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.49200000000002,46.8868193923519],[-113.49209076647678,46.88681043958865],[-113.49217412506701,46.88678431197692],[-113.4922432724974,46.88674314191462],[-113.49229256536779,46.886690289479034],[-113.49231798073447,46.88663006818835],[-113.49231744442633,46.88656739295015],[-113.49229100030198,46.88650737893161],[-113.49224080664195,46.886454924091254],[-113.49217095997957,46.88641430944293],[-113.49208716075583,46.88638884967467],[-113.49199624808884,46.88638062263379],[-113.4919056416261,46.88639029975292],[-113.49182273602581,46.886417091254316],[-113.49175429747719,46.886458810603706],[-113.49170591150367,46.886512052954366],[-113.49168152711007,46.886572473020074],[-113.49168313447666,46.88663513970205],[-113.49171060250833,46.88669493853001],[-113.49176168950585,46.886746989074005],[-113.49183222609612,46.886787043260746],[-113.49191645550017,46.88681183208407],[-113.49200000000002,46.8868193923519]]]}"
170,TP1,0.6169140934944153,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4928,46.88651939235191],[-113.49289076596915,46.886510439588655],[-113.49297412409318,46.88648431197692],[-113.49304327113687,46.88644314191462],[-113.49309256373157,46.88639028947903],[-113.49311797895612,46.88633006818836],[-113.49311744265098,46.886267392950145],[-113.49309099867452,46.886207378931616],[-113.4930408052952,46.88615492409125],[-113.49297095902345,46.886114309442924],[-113.49288716026837,46.886088849674664],[-113.49279624810981,46.88608062263378],[-113.49270564215381,46.886090299752915],[-113.49262273701717,46.886117091254306],[-113.49255429885129,46.88615881060371],[-113.49250591314838,46.88621205295437],[-113.49248152889119,46.886272473020085],[-113.49248313624875,46.88633513970206],[-113.49251060412682,46.88639493853001],[-113.49256169083864,46.88644698907401],[-113.49263222703442,46.88648704326074],[-113.4927164559674,46.88651183208407],[-113.4928,46.88651939235191]]]}"
175,TP6,0.5890403985977173,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4929,46.888419392351906],[-113.49299076918427,46.888410439588654],[-113.493074130261,46.888384311976914],[-113.493143279754,46.888343141914596],[-113.49319257409472,46.88829028947901],[-113.49321799021949,46.88823006818833],[-113.49321745389534,46.888167392950116],[-113.49319100898217,46.88810737893158],[-113.4931408138249,46.888054924091236],[-113.4930709650791,46.888014309442916],[-113.4929871633557,46.887988849674656],[-113.49289624797692,46.88798062263378],[-113.49280563881152,46.88799029975291],[-113.49272273073827,46.8880170912543],[-113.49265429014818,46.8880588106037],[-113.49260590273136,46.88811205295434],[-113.49258151761039,46.88817247302004],[-113.4925831250249,46.88823513970203],[-113.49261059387591,46.888294938529995],[-113.49266168239727,46.888346989073995],[-113.49273222109159,46.888387043260735],[-113.49281645300812,46.88841183208407],[-113.4929,46.888419392351906]]]}"
176,TP7,0.606401801109314,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4926,46.887319392351905],[-113.49269076732284,46.887310439588646],[-113.49277412669007,46.887284311976906],[-113.49284327476501,46.88724314191461],[-113.49289256809486,46.88719028947902],[-113.49291798369843,46.88713006818834],[-113.49291744738531,46.88706739295014],[-113.49289100301444,46.88700737893161],[-113.49284080888654,46.88695492409124],[-113.49277096157311,46.8869143094429],[-113.49268716156826,46.886888849674655],[-113.49259624805384,46.88688062263378],[-113.49250564074657,46.886890299752906],[-113.49242273437349,46.8869170912543],[-113.49235429518691,46.8869588106037],[-113.49230590876238,46.887012052954354],[-113.4922815241415,46.887072473020055],[-113.49228313152304,46.88713513970204],[-113.49231059981076,46.88719493853],[-113.49236168728447,46.887246989074],[-113.49243222453224,46.88728704326074],[-113.49251645472141,46.887311832084066],[-113.4926,46.887319392351905]]]}"
172,TP3,0.612501323223114,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4916,46.8874193923519],[-113.49169076749206,46.88741043958865],[-113.4917741270147,46.887384311976916],[-113.49184327521856,46.88734314191463],[-113.4918925686403,46.887290289479026],[-113.49191798429126,46.88723006818835],[-113.4919174479771,46.88716739295013],[-113.49189100355696,46.8871073789316],[-113.49184080933547,46.88705492409124],[-113.49177096189185,46.88701430944292],[-113.49168716173075,46.88698884967466],[-113.49159624804687,46.88698062263378],[-113.49150564057067,46.88699029975291],[-113.49142273404304,46.88701709125431],[-113.49135429472888,46.88705881060371],[-113.49130590821413,46.88711205295436],[-113.4912815235478,46.887172473020065],[-113.49128313093233,46.88723513970205],[-113.49131059927124,46.88729493853],[-113.49136168684021,46.88734698907401],[-113.49143222421948,46.887387043260745],[-113.49151645456567,46.88741183208407],[-113.4916,46.8874193923519]]]}"
173,TP4,0.6008731126785278,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.49200000000002,46.887819392351915],[-113.49209076816894,46.88781043958865],[-113.49217412831321,46.887784311976915],[-113.49224327703271,46.88774314191462],[-113.49229257082203,46.887690289479025],[-113.49231798666251,46.887630068188344],[-113.49231745034437,46.88756739295013],[-113.49229100572701,46.8875073789316],[-113.49224081113123,46.887454924091244],[-113.49217096316673,46.887414309442924],[-113.49208716238074,46.887388849674664],[-113.49199624801889,46.887380622633785],[-113.49190563986703,46.887390299752916],[-113.49182273272116,46.887417091254314],[-113.49175429289663,46.887458810603704],[-113.49170590602107,46.88751205295435],[-113.49168152117288,46.88757247302006],[-113.49168312856939,46.88763513970205],[-113.49171059711315,46.887694938530004],[-113.49176168506308,46.887746989074],[-113.49183222296836,46.887787043260744],[-113.49191645394266,46.887811832084076],[-113.49200000000002,46.887819392351915]]]}"
174,TP5,0.6078431606292725,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.49200000000002,46.888619392351906],[-113.49209076952272,46.88861043958865],[-113.49217413091029,46.888584311976906],[-113.49224328066111,46.8885431419146],[-113.49229257518563,46.888490289479],[-113.49231799140519,46.88843006818833],[-113.49231745507902,46.888367392950116],[-113.49229101006725,46.88830737893159],[-113.4922408147228,46.888254924091235],[-113.49217096571655,46.88821430944291],[-113.49208716368072,46.888188849674656],[-113.49199624796293,46.888180622633776],[-113.49190563845968,46.888190299752914],[-113.49182273007729,46.888217091254305],[-113.491754289232,46.888258810603695],[-113.49170590163476,46.88831205295434],[-113.49168151642289,46.88837247302004],[-113.49168312384336,46.888435139702025],[-113.4917105927968,46.888494938529995],[-113.49176168150866,46.888546989073994],[-113.491832220466,46.88858704326074],[-113.4919164526966,46.888611832084074],[-113.49200000000002,46.888619392351906]]]}"
71,GR7,0.6898711323738098,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4571,46.87991939235191],[-113.45719075480342,46.87991043958867],[-113.45727410267301,46.87988431197695],[-113.45734324121051,46.87984314191469],[-113.45739252774149,46.879790289479125],[-113.45741793983963,46.87973006818847],[-113.45741740360054,46.87966739295026],[-113.4573909628772,46.87960737893171],[-113.45734077567249,46.87955492409131],[-113.45727093799293,46.87951430944296],[-113.45718714954634,46.87948884967467],[-113.45709624857133,46.879480622633785],[-113.45700565376123,46.87949029975293],[-113.45692275882318,46.87951709125435],[-113.45685432907626,46.87955881060378],[-113.45680594932558,46.879612052954464],[-113.45678156806812,46.87967247302018],[-113.45678317522805,46.87973513970218],[-113.45681063972721,46.87979493853011],[-113.45686172015458,46.879846989074075],[-113.45693224767328,46.87988704326077],[-113.45701646624471,46.879911832084076],[-113.4571,46.87991939235191]]]}"
65,GR1,0.7482541799545288,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.4562,46.881119392351906],[-113.45629075683324,46.88111043958865],[-113.45637410656703,46.881084311976934],[-113.45644324665086,46.88104314191467],[-113.45649253428418,46.880990289479094],[-113.45651794695067,46.880930068188434],[-113.45651741069959,46.88086739295022],[-113.45649096938484,46.88080737893167],[-113.45644078105764,46.88075492409129],[-113.45637094181609,46.880714309442936],[-113.45628715149552,46.880688849674655],[-113.45619624848744,46.880680622633776],[-113.45610565165109,46.880690299752914],[-113.45602275485902,46.880717091254326],[-113.45595432358161,46.88075881060375],[-113.45590594274886,46.880812052954425],[-113.45588156094605,46.88087247302015],[-113.45588316814191,46.88093513970214],[-113.45591063325533,46.88099493853007],[-113.45596171482518,46.88104698907405],[-113.4560322439213,46.88108704326076],[-113.45611646437636,46.88111183208407],[-113.4562,46.881119392351906]]]}"
66,GR2,0.7527846693992615,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.45779999999999,46.88131939235191],[-113.45789075717157,46.88131043958867],[-113.45797410721605,46.88128431197695],[-113.45804324755764,46.88124314191467],[-113.45809253537467,46.8811902894791],[-113.45811794813591,46.88113006818844],[-113.45811741188282,46.88106739295023],[-113.4580909704695,46.881007378931685],[-113.4580407819552,46.8809549240913],[-113.45797094245333,46.88091430944294],[-113.45788715182039,46.88088884967467],[-113.45779624847344,46.880880622633775],[-113.45770565129939,46.88089029975292],[-113.45762275419831,46.88091709125434],[-113.4575543226658,46.880958810603765],[-113.45750594165271,46.88101205295444],[-113.45748155975902,46.881072473020154],[-113.45748316696087,46.881135139702145],[-113.45751063217666,46.88119493853008],[-113.4575617139369,46.881246989074064],[-113.45763224329595,46.88128704326077],[-113.45771646406499,46.88131183208408],[-113.45779999999999,46.88131939235191]]]}"
67,GR3,0.7605816125869751,"{""geodesic"":true,""type"":""Polygon"",""coordinates"":[[[-113.45769999999999,46.8819193923519],[-113.45779075818655,46.881910439588644],[-113.45787410916317,46.88188431197693],[-113.45794325027799,46.88184314191466],[-113.45799253864621,46.881790289479085],[-113.45801795169164,46.881730068188425],[-113.45801741543255,46.881667392950206],[-113.45799097372353,46.88160737893166],[-113.45794078464796,46.88155492409128],[-113.45787094436503,46.881514309442935],[-113.45778715279504,46.88148884967466],[-113.45769624843149,46.881480622633774],[-113.45760565024425,46.88149029975291],[-113.45752275221611,46.881517091254324],[-113.45745431991831,46.88155881060375],[-113.45740593836415,46.88161205295442],[-113.45738155619777,46.88167247302014],[-113.4573831634176,46.88173513970212],[-113.45741062894055,46.881794938530064],[-113.45746171127205,46.88184698907404],[-113.45753224141984,46.881887043260754],[-113.45761646313076,46.881911832084064],[-113.45769999999999,46.8819193923519]]]}"
