system:index,ID,aspect,elevation,slope,slopePercent,.geo
171,TP2,138.4821237,1290.969604,11.74551392,20.79186161,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.492,46.8866]}"
170,TP1,142.7483774,1294.988525,7.236312389,12.69733153,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4928,46.8863]}"
175,TP6,134.0262927,1328.546631,11.61172581,20.54838065,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4929,46.8882]}"
176,TP7,155.7007968,1305.713501,10.65213013,18.80867818,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4926,46.8871]}"
172,TP3,121.4891499,1297.088989,12.98694897,23.06282794,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4916,46.8872]}"
173,TP4,131.3493509,1307.964844,10.37185287,18.30265823,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.492,46.8876]}"
174,TP5,119.1461964,1317.278564,13.7639761,24.49569934,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.492,46.8884]}"
71,GR7,303.8550716,1309.828125,14.19643974,25.29727852,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4571,46.8797]}"
65,GR1,341.3896268,1299.318604,13.1713438,23.4020285,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4562,46.8809]}"
66,GR2,312.0479807,1288.94519,5.158825874,9.028260061,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4578,46.8811]}"
67,GR3,305.349151,1286.007568,4.105427742,7.177611066,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4577,46.8817]}"
68,GR4,316.8676669,1279.41394,12.36530685,21.92295637,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4575,46.8831]}"
70,GR6,176.7196644,1287.286743,1.649585724,2.879865973,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4568,46.8819]}"
69,GR5,40.91856066,1277.190186,3.578716516,6.254173873,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.455,46.8828]}"
95,LF3,340.2306968,1280.264893,7.094764709,12.44637948,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4325,46.8909]}"
99,LF7,335.7095657,1273.680176,6.213636398,10.88755794,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.4331,46.8913]}"
